Origen;Destino;Ruta;TiempoViaje;Hora;DíaSemana;Pasajeros;Retraso
Capri;Estadio;T31;9;9:45:00 p. m.;Jueves;49;5
Centro;Terminal Andrés Sanín;E21;12;11:00:00 a. m.;Lunes;32;4
Capri;Centro;T31;14;5:30:00 p. m.;Domingo;60;4
Unidad Deportiva;Meléndez;P21A;9;9:30:00 a. m.;Jueves;25;4
Capri;Centro;T31;13;5:45:00 p. m.;Lunes;65;3
San Fernando;Estadio;T47A;11;8:45:00 p. m.;Miércoles;69;4
Unidad Deportiva;Meléndez;P21A;5;12:30:00 p. m.;Domingo;82;0
Meléndez;Unidad Deportiva;P21A;9;9:00:00 p. m.;Lunes;25;4
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;20;2:00:00 p. m.;Martes;91;5
San Bosco;Centro;T50;5;7:15:00 a. m.;Viernes;97;0
Meléndez;Universidades;P21A;5;6:00:00 p. m.;Sábado;49;1
Estadio;San Fernando;T47A;10;9:45:00 a. m.;Jueves;74;3
Estadio;San Bosco;T50;7;12:30:00 p. m.;Sábado;27;1
Estadio;San Fernando;T47A;9;5:30:00 p. m.;Jueves;82;2
Universidades;San Fernando;T47A;8;11:30:00 a. m.;Lunes;12;3
San Fernando;Estadio;T47A;8;5:15:00 a. m.;Martes;81;1
Estadio;Capri;T31;7;5:30:00 p. m.;Jueves;78;3
Capri;Estadio;T31;6;10:15:00 p. m.;Sábado;34;2
San Fernando;Capri;T31;8;9:15:00 p. m.;Lunes;51;2
Terminal Andrés Sanín;Centro;E21;11;5:45:00 p. m.;Martes;32;3
San Fernando;Capri;T31;7;1:15:00 p. m.;Sábado;83;1
San Fernando;Capri;T31;7;8:30:00 a. m.;Viernes;57;1
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;17;3:00:00 p. m.;Lunes;37;2
Centro;San Bosco;T50;6;8:30:00 p. m.;Jueves;56;1
San Fernando;Capri;T31;6;10:00:00 a. m.;Jueves;41;0
Unidad Deportiva;Meléndez;P21A;8;5:00:00 p. m.;Miércoles;97;3
Estadio;San Bosco;T50;6;4:15:00 p. m.;Domingo;87;0
Meléndez;Unidad Deportiva;P21A;8;8:15:00 p. m.;Miércoles;32;3
Meléndez;Universidades;P21A;7;10:30:00 p. m.;Lunes;95;3
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;16;3:15:00 p. m.;Sábado;39;1
San Bosco;Estadio;T50;10;3:30:00 p. m.;Domingo;48;4
Estadio;Capri;T31;4;2:00:00 p. m.;Miércoles;85;0
Estadio;San Fernando;T47A;10;10:45:00 p. m.;Martes;66;3
San Fernando;Universidades;T47A;5;12:00:00 p. m.;Viernes;35;0
Capri;Centro;T31;15;12:30:00 p. m.;Viernes;51;5
Capri;Estadio;T31;9;10:15:00 p. m.;Viernes;29;5
Estadio;San Fernando;T47A;8;7:45:00 a. m.;Domingo;34;1
Unidad Deportiva;Meléndez;P21A;8;2:15:00 p. m.;Miércoles;19;3
Estadio;San Fernando;T47A;10;1:45:00 p. m.;Viernes;47;3
Capri;Centro;T31;12;4:15:00 p. m.;Domingo;21;2
San Bosco;Centro;T50;10;2:45:00 p. m.;Jueves;66;5
Capri;San Fernando;T31;7;3:45:00 p. m.;Jueves;11;1
Unidad Deportiva;Meléndez;P21A;7;10:30:00 p. m.;Domingo;27;2
Unidad Deportiva;Meléndez;P21A;8;11:30:00 a. m.;Martes;29;3
Unidad Deportiva;Meléndez;P21A;6;8:30:00 p. m.;Lunes;18;1
San Fernando;Universidades;T47A;6;3:30:00 p. m.;Sábado;51;1
Estadio;Capri;T31;9;6:30:00 p. m.;Viernes;11;5
Centro;Terminal Andrés Sanín;E21;8;5:15:00 p. m.;Miércoles;88;0
Meléndez;Universidades;P21A;4;9:30:00 a. m.;Lunes;88;0
Meléndez;Unidad Deportiva;P21A;10;9:15:00 a. m.;Domingo;14;5
Capri;Estadio;T31;9;9:45:00 p. m.;Domingo;66;5
Capri;Centro;T31;11;10:45:00 a. m.;Viernes;67;1
Centro;San Bosco;T50;9;4:45:00 p. m.;Domingo;98;4
Universidades;Meléndez;P21A;8;11:30:00 a. m.;Miércoles;68;4
Unidad Deportiva;Meléndez;P21A;7;9:15:00 a. m.;Martes;21;2
Estadio;Capri;T31;6;2:30:00 p. m.;Lunes;87;2
Unidad Deportiva;Meléndez;P21A;9;6:15:00 a. m.;Sábado;53;4
Centro;Capri;T31;15;9:00:00 p. m.;Sábado;30;5
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;19;9:30:00 p. m.;Miércoles;45;4
Capri;San Fernando;T31;8;7:00:00 a. m.;Miércoles;33;2
San Bosco;Estadio;T50;7;5:15:00 a. m.;Viernes;51;1
Estadio;Capri;T31;6;3:45:00 p. m.;Miércoles;100;2
Capri;Centro;T31;12;10:30:00 a. m.;Lunes;26;2
San Bosco;Centro;T50;5;12:30:00 p. m.;Domingo;12;0
Centro;San Bosco;T50;9;10:00:00 a. m.;Domingo;84;4
Estadio;Capri;T31;5;2:30:00 p. m.;Lunes;85;1
San Fernando;Universidades;T47A;9;8:30:00 a. m.;Martes;69;4
San Fernando;Capri;T31;8;5:30:00 p. m.;Lunes;86;2
Estadio;San Fernando;T47A;10;8:00:00 a. m.;Jueves;84;3
Centro;San Bosco;T50;8;8:45:00 p. m.;Lunes;75;3
San Fernando;Estadio;T47A;10;1:00:00 p. m.;Lunes;57;3
San Bosco;Centro;T50;8;9:30:00 p. m.;Miércoles;15;3
Capri;San Fernando;T31;6;9:30:00 p. m.;Sábado;100;0
San Fernando;Universidades;T47A;5;9:45:00 a. m.;Miércoles;67;0
Estadio;Capri;T31;4;2:45:00 p. m.;Domingo;48;0
San Fernando;Estadio;T47A;7;7:15:00 p. m.;Jueves;39;0
Estadio;San Fernando;T47A;11;6:00:00 p. m.;Viernes;93;4
San Fernando;Estadio;T47A;10;11:15:00 a. m.;Miércoles;70;3
Universidades;Meléndez;P21A;6;6:15:00 a. m.;Martes;18;2
Estadio;Capri;T31;9;10:15:00 p. m.;Martes;37;5
Estadio;Capri;T31;9;9:15:00 a. m.;Miércoles;42;5
San Fernando;Estadio;T47A;9;5:15:00 p. m.;Domingo;40;2
Universidades;Meléndez;P21A;8;3:00:00 p. m.;Martes;66;4
Estadio;Capri;T31;4;3:30:00 p. m.;Miércoles;99;0
Capri;San Fernando;T31;6;4:00:00 p. m.;Miércoles;91;0
Estadio;San Bosco;T50;8;3:15:00 p. m.;Viernes;12;2
Centro;Terminal Andrés Sanín;E21;10;3:00:00 p. m.;Sábado;49;2
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;17;10:15:00 p. m.;Martes;55;2
San Fernando;Universidades;T47A;7;7:15:00 a. m.;Lunes;89;2
San Fernando;Estadio;T47A;7;4:15:00 p. m.;Miércoles;16;0
San Fernando;Capri;T31;6;1:00:00 p. m.;Viernes;66;0
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;20;9:45:00 a. m.;Sábado;50;5
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;15;3:30:00 p. m.;Jueves;19;0
Unidad Deportiva;Meléndez;P21A;7;12:15:00 p. m.;Lunes;89;2
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;15;11:30:00 a. m.;Lunes;85;0
Estadio;Capri;T31;7;9:30:00 a. m.;Jueves;99;3
San Bosco;Estadio;T50;8;5:15:00 p. m.;Martes;81;2
Universidades;San Fernando;T47A;9;12:45:00 p. m.;Lunes;34;4
Centro;San Bosco;T50;8;1:30:00 p. m.;Viernes;74;3
Centro;Terminal Andrés Sanín;E21;11;2:00:00 p. m.;Sábado;72;3
Estadio;Capri;T31;5;10:15:00 p. m.;Sábado;11;1
San Fernando;Estadio;T47A;8;10:15:00 p. m.;Lunes;80;1
Capri;San Fernando;T31;9;6:45:00 p. m.;Miércoles;98;3
Estadio;Capri;T31;4;9:30:00 a. m.;Domingo;62;0
San Fernando;Estadio;T47A;9;4:00:00 p. m.;Jueves;39;2
Centro;Capri;T31;15;1:45:00 p. m.;Martes;31;5
Estadio;San Fernando;T47A;9;3:15:00 p. m.;Domingo;92;2
Capri;Estadio;T31;5;9:30:00 p. m.;Jueves;39;1
Estadio;San Bosco;T50;10;4:45:00 p. m.;Viernes;74;4
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;20;12:30:00 p. m.;Miércoles;22;5
Meléndez;Universidades;P21A;9;10:45:00 p. m.;Martes;76;5
San Bosco;Centro;T50;7;2:15:00 p. m.;Domingo;26;2
Capri;San Fernando;T31;7;1:00:00 p. m.;Jueves;17;1
Terminal Andrés Sanín;Centro;E21;11;8:45:00 a. m.;Miércoles;52;3
Universidades;Meléndez;P21A;5;8:00:00 a. m.;Sábado;23;1
Capri;San Fernando;T31;7;12:45:00 p. m.;Domingo;76;1
Estadio;San Fernando;T47A;9;7:00:00 p. m.;Viernes;73;2
